Nutrient_Group_EN,Nutrient_Group_FR,Nutrient_Code,Nutrient_Symbol,Nutrient_Name_EN,Nutrient_Name_FR,Nutrient unit,Display order for web tool (do not publish this info),Nutrient (unit)_EN,Nutrient (unit)_FR
Lipids,Acides gras (lipides),853,20:3n-6,"Fatty acids, polyunsaturated, 20:3 n-6, eicosatrienoic","acides gras polyinsaturés, 20:3 n-6",g,137,20:3 n-6 (g),20:3 n-6 (g)
Lipids,Acides gras (lipides),855,20:4n-6,"Fatty acids, polyunsaturated, 20:4 n-6, arachidonic","acides gras polyinsaturés, 20:4 n-6, arachidonique, eicosatétraénoïque",g,139,20:4 n-6 (g),20:4 n-6 (g)
Lipids,Acides gras (lipides),856,18:3i,"Fatty acids, polyunsaturated, 18:3i, linolenic, octadecatrienoic","acides gras polyinsaturés, 18:3i, linolénique, octadécatriénoïque",g,165,18:3i (g),18:3i (g)
Lipids,Acides gras (lipides),857,21:05,"Fatty acids, polyunsaturated, 21:5","acides gras polyinsaturés,  21:5",g,141,21:5 (g),21:5 (g)
Lipids,Acides gras (lipides),858,22:4n-6,"Fatty acids, polyunsaturated, 22:4 n-6, docosatetraenoic","acides gras polyinsaturés, 22:4n-6, docosatétraénoïque",g,144,22:4 n-6 (g),22:4 n-6 (g)
Lipids,Acides gras (lipides),859,24:1undiff,"Fatty acids, monounsaturated,  24:1undifferentiated, tetracosenoic","acides gras monoinsaturés, 24:1non différencié, tétracosénoïque",g,121,24:1undiff (g), 24:1non différencié (g)
Lipids,Acides gras (lipides),860,12:01,"Fatty acids, monounsaturated, 12:1, lauroleic","acides gras monoinsaturés, 12:1, lauroleïque",g,102,12:1 (g),12:1 (g)
Lipids,Acides gras (lipides),861,22:03,"Fatty acids, polyunsaturated, 22:3,","acides gras polyinsaturés, 22:3",g,143,22:3 (g),22:3 (g)
Lipids,Acides gras (lipides),862,22:02,"Fatty acids, polyunsaturated, 22:2, docosadienoic","acides gras polyinsaturés, 22:2, docosadiénoïque",g,142,22:2 (g),22:2 (g)
Lipids,Acides gras (lipides),884,18:1 10c,"Fatty acids, monounsaturated, 18:1 10c","acides gras monoinsaturés, 18:1 10c",g,110,18:1 10c (g),18:1 10c (g)
Lipids,Acides gras (lipides),885,18:1 11c,"Fatty acids, monounsaturated, 18:1 11c","acides gras monoinsaturés, 18:1 11c",g,111,18:1 11c (g),18:1 11c (g)
Lipids,Acides gras (lipides),886,18:1 12c,"Fatty acids, monounsaturated, 18:1 12c","acides gras monoinsaturés, 18:1 12c",g,112,18:1 12c (g),18:1 12c (g)
Lipids,Acides gras (lipides),888,18:1 13c,"Fatty acids, monounsaturated, 18:1 13c","acides gras monoinsaturés, 18:1 13c",g,113,18:1 13c (g),18:1 13c (g)
Lipids,Acides gras (lipides),891,18:1 14c,"Fatty acids, monounsaturated, 18:1 14c","acides gras monoinsaturés, 18:1 14c",g,114,18:1 14c (g),18:1 14c (g)
Lipids,Acides gras (lipides),895,18:1 15c,"Fatty acids, monounsaturated, 18:1 15c","acides gras monoinsaturés, 18:1 15c",g,115,18:1 15c (g),18:1 15c (g)
Lipids,Acides gras (lipides),896,18:1 16c,"Fatty acids, monounsaturated, 18:1 16c","acides gras monoinsaturés, 18:1 16c",g,116,18:1 16c (g),18:1 16c (g)
Lipids,Acides gras (lipides),897,18:1 11t,"Fatty acids, monounsaturated, 18:1 11t","acides gras monoinsaturés, 18:1 11t",g,152,18:1 11t (g),18:1 11t (g)
Lipids,Acides gras (lipides),898,18:1 4t,"Fatty acids, monounsaturated, 18:1 4t","acides gras monoinsaturés, 18:1 4t",g,153,18:1 4t (g),18:1 4t (g)
Lipids,Acides gras (lipides),899,18:1 5t,"Fatty acids, monounsaturated, 18:1 5t","acides gras monoinsaturés, 18:1 5t",g,154,18:1 5t (g),18:1 5t (g)
Lipids,Acides gras (lipides),904,18:1 6t-8t,"Fatty acids, monounsaturated, 18:1 6t-8t","acides gras monoinsaturés, 18:1 6t-8t",g,155,18:1 6t-8t (g),18:1 6t-8t (g)
